"order_id","sales_price","units","total_sales","customer_id","discount_id","product_id","sales_date","campaign_id","order_type","return_id","discount_pct"
"fe5e0a4f-54b0-4a71-a7b2-f82b110676aa","462.17",4,"1109.21",472,"b267c1b1-f8f8-4854-b751-0b2939302fa5",11,"2023-10-09",NULL,2,NULL,"0.40"
"ba714e80-6318-4856-baa5-b36e475a8e38","39.31",4,"157.24",381,NULL,4,"2022-03-09",NULL,0,NULL,"0.00"
"605d6563-9b23-4f33-bdae-2862f1cec1c2","565.50",3,"1442.02",1019,"f0c814da-90de-458d-b4e0-97df70421f3d",6,"2021-02-25","fa9b3641-9bed-4e50-9ee4-d2dbe9293130",2,NULL,"0.15"
"cc11d427-3ae6-4c67-b893-7e868e6e2699","49.81",1,"44.83",1008,"9fffe190-9656-4d3e-9c83-753bc9da2f30",2,"2023-09-27",NULL,2,NULL,"0.10"
"275da320-9352-42ba-acdb-28b01a2e5e02","49.81",4,"199.24",360,NULL,2,"2022-08-19",NULL,2,NULL,"0.00"
"5af63146-6b36-4350-b6ec-2b125ab9ed3b","94.22",3,"282.66",833,NULL,12,"2023-07-25",NULL,2,NULL,"0.00"
"6e0868ae-ff43-4e73-a018-9a903b159c4f","432.16",1,"432.16",322,NULL,5,"2022-06-14","36d8ac82-08cd-4a22-b611-bb0603a85d78",0,NULL,"0.00"
"c4d6abfd-5f42-4f20-b021-43b07427d3b5","94.22",1,"94.22",580,NULL,12,"2022-02-25",NULL,1,NULL,"0.00"
"f2e53b6a-9cc7-44de-914f-e23ee593df01","44.32",4,"177.28",434,NULL,3,"2022-02-11",NULL,0,NULL,"0.00"
"6690afb6-0479-4fc5-8862-a485b0493b14","39.31",4,"157.24",85,NULL,4,"2023-09-21","edadc68a-2ea0-4e20-9584-7d22c6a95d4c",0,NULL,"0.00"
"838ffd77-4506-4a45-a9e8-d1a43dc72a75","432.16",4,"1728.64",582,NULL,5,"2022-01-22",NULL,2,NULL,"0.00"
"6b8465f5-f752-46a9-b04c-20c513ef419e","432.16",1,"432.16",1012,NULL,5,"2022-09-16","000b130a-ee63-487a-a0b6-78050e16bdc9",1,NULL,"0.00"
"f9351d6b-9116-45e9-8fd7-6354bb538563","94.22",4,"376.88",712,NULL,12,"2022-07-16",NULL,2,NULL,"0.00"
"7feb1426-261b-4ecd-9862-b05e172ca6af","94.22",2,"188.44",328,NULL,12,"2023-12-11",NULL,1,NULL,"0.00"
"79559208-a8ff-478a-8e22-a45daa52b337","169.38",3,"508.14",158,NULL,9,"2022-01-11","edadc68a-2ea0-4e20-9584-7d22c6a95d4c",1,NULL,"0.00"
"bcd011e5-981a-4d65-98a1-7afeb83fe4ba","44.32",4,"177.28",800,NULL,3,"2023-05-29",NULL,2,NULL,"0.00"
"fbb1659f-d36f-407a-83fb-c74f8a530c38","94.22",3,"282.66",1030,NULL,12,"2023-11-26",NULL,2,NULL,"0.00"
"58fc2b3a-b67f-404e-9fc6-3257e5f0fdad","462.17",5,"2310.85",690,NULL,11,"2023-01-10",NULL,2,NULL,"0.00"
"5532a4bc-2fa2-4f99-9d87-73864ca17e14","94.22",5,"471.10",952,NULL,12,"2021-12-24",NULL,1,NULL,"0.00"
"7f6e7290-a3a6-4253-83d4-6a329a7fb2fd","34.51",4,"138.04",248,NULL,7,"2021-06-28",NULL,2,NULL,"0.00"
"1e1cdb45-2891-4fbe-bcd6-d140b8ba0f59","44.32",1,"33.24",111,"a55c4bb4-237d-4a20-a87d-4b284647ce0e",3,"2023-02-05","c8a00b5b-f212-45a8-94e8-fd3329f08def",1,NULL,"0.25"
"0b7f204e-93d6-41c7-ae24-3361a82e9307","39.31",4,"157.24",492,NULL,4,"2022-09-17","8e4b4f47-407f-4917-961d-886ce2592d81",1,NULL,"0.00"
"3fc58e2e-07ed-4d3f-836d-f3eb9b30ceb1","432.16",2,"734.67",740,"7311eca4-a430-4994-a723-d81a11699852",5,"2021-11-02","82fb9525-8cca-4fbc-bd94-766085bed195",1,NULL,"0.15"
"58413ab8-53ab-4c8b-b1eb-d3782d269261","44.32",5,"188.36",902,"f0c814da-90de-458d-b4e0-97df70421f3d",3,"2023-11-11",NULL,0,NULL,"0.15"
"1473412f-0f08-45a8-b334-492f9642c334","462.17",3,"1386.51",111,NULL,11,"2023-10-04",NULL,2,NULL,"0.00"
"f1c2a004-fc58-4913-9423-bee3b40082de","462.17",2,"462.17",277,"df25f0cc-5e25-4260-8e5a-60029850596a",11,"2023-10-06",NULL,0,NULL,"0.50"
"682c9646-35ea-440f-8bdd-b8d3d86d9637","87.20",4,"348.80",837,NULL,10,"2022-12-17",NULL,2,NULL,"0.00"
"faba1f2b-a9e4-4ca3-ad2d-b97cc8ff5869","26.84",1,"26.84",484,NULL,8,"2022-12-19",NULL,2,NULL,"0.00"
"77af8bf5-be13-4fa9-8637-616c2f106da9","565.50",5,"2827.50",46,NULL,6,"2022-10-15",NULL,1,NULL,"0.00"
"6fe0ba46-0167-4716-b17f-aa4971ef1d7c","94.22",2,"150.75",772,"ccfb0590-1e0f-4a91-8c69-11fe8a94b952",12,"2021-03-23",NULL,2,NULL,"0.20"
"73819dfa-cb42-4457-8f41-3a2682e752ea","87.20",3,"261.60",493,NULL,10,"2022-10-16",NULL,2,NULL,"0.00"
"261c1f06-adae-47df-a319-1565c8613b8e","87.20",4,"313.92",898,"b05b084a-0666-4be7-ac13-d8f819faa36a",10,"2022-04-30",NULL,2,NULL,"0.10"
"7e0d67d1-bd7f-453e-b3a7-f2d7dc77931a","94.22",1,"94.22",764,NULL,12,"2022-09-07","a697ba47-9599-41e5-ad85-6e85d8524248",1,NULL,"0.00"
