"return_id","order_id","customer_id","product_id","concession_reason","return_date"
"ddf8c953-2fb0-42f4-b728-b091a4559d34","aa5cf62a-83d2-4c23-b3a2-8cce5ba91de0",965,12,"Late delivery or shipping issues","2023-09-07"
"1023e480-bfed-48b7-802c-ba2d5581848b","ada05bce-6fe0-4555-a64a-6a027dae6cfe",547,7,"Quality did not meet expectations","2022-11-02"
"c777c56b-a8c2-46d7-a442-d9a28c8e4e17","acf47d87-5e37-4e5d-9521-d085864fffdc",664,9,"Late delivery or shipping issues","2024-01-20"
"ba335190-8d67-4ff0-bdfc-854665605ae4","8a2efeb1-e95a-4d55-9365-b016fe234c49",281,2,"Changed mind or no longer needed","2022-02-01"
"a133a1eb-97b5-4b60-ac34-479ff7663733","db322632-ebca-4a27-ad98-86df12380e14",441,4,"Received the wrong product","2024-01-18"
"8143fb58-80c3-498a-b34c-32f856bef7ac","a0f6a363-392f-4a7f-bc4b-bf73c27b4dda",634,9,"Item arrived damaged","2023-07-29"
"326112e4-076a-4dd7-8156-b4765eb5faa0","95f1f7a0-a29d-4443-b821-5a9f5b81b9c8",610,5,"Received the wrong product","2023-04-25"
"e84d2b8e-ad97-4ec9-9a79-6c1e1f34e2cc","44c0b36e-93a5-4a8c-b467-b261df3b657b",149,5,"Received duplicate items","2024-01-20"
"768294f4-a4db-4132-ab9b-81ebf9217003","661ed7f8-9d65-44a3-9763-c58df8f267ae",15,5,"Product not as described","2023-08-10"
"078fca50-2639-4860-8257-fe0b159a6f07","b581cbf3-5ae8-4586-a97f-593a7d3aaf0d",409,3,"Late delivery or shipping issues","2022-12-16"
"342c8bc7-b28d-458e-abf5-29942d9b37c0","f1f86b63-4817-40b2-85d9-2ef514c77e0a",590,9,"Received the wrong product","2023-08-19"
"b3ca3bfb-fd77-4b2d-b1ed-f279567d7766","b5e17233-18bd-465f-a392-15461ddb2769",538,7,"Late delivery or shipping issues","2022-10-14"
"86a22385-7ccb-411d-bf9a-c0e020950d1d","485cf43b-fbe2-4669-ac24-1590fe6c5e08",969,11,"Received duplicate items","2023-07-23"
"e92a15eb-ae41-427c-b531-4ea110301f8c","fc7c15b7-f40d-4500-88f9-536f0fd46725",716,2,"Quality did not meet expectations","2023-12-27"
"158d7bae-e8fd-4dd7-ab61-b9346487e9b1","f1bb4c7e-d2e3-430c-b681-4e8c7592adf6",946,3,"Quality did not meet expectations","2021-10-21"
"c440fa89-aae2-477f-9bb3-a507133fcd88","2f7c87a2-7267-4b21-ac8a-51e0bf686906",136,10,"Late delivery or shipping issues","2024-01-16"
"a494aaf7-793b-48f4-b7ab-88f51c2881fe","fc0fd70a-4858-4618-83f4-95dad73909df",230,11,"Product not as described","2023-07-29"
"d4417699-a546-4ff5-a6f6-8576d4ee40db","c21c9c1a-0e11-43fb-807c-e72cf8726d5c",812,8,"Product not as described","2022-10-31"
"d61cbafb-e833-4fd6-b7db-da9ff9198fd3","39e4ee94-28a1-4ed3-a413-2831c8543f5b",610,7,"Changed mind or no longer needed","2022-11-05"
"68ebfca7-1a4e-497e-882e-3d1b7f6df4e2","25838183-c279-45ad-9508-64e77fa4a329",775,2,"Item arrived damaged","2022-12-17"
"87d0d5b5-7181-401b-9b27-a76159c55501","17022ba4-6bbd-4f52-b386-6fa251618e99",207,6,"Received duplicate items","2023-06-04"
"4fb5965f-afbb-4057-b583-47a991c981ff","3694969d-d2c8-4c52-bd70-145c028a4606",503,8,"Received the wrong product","2021-12-29"
"8f558a39-2c7b-4651-bbd3-ccf0473dc2a1","67e69ece-5351-443e-9f0c-e092d630d6d8",768,2,"Quality did not meet expectations","2023-12-28"
"0ff4cd07-037f-4915-b9fc-3de73d80028a","8e29d89a-55a7-4c24-b57b-4b8dc67c8d73",813,8,"Changed mind or no longer needed","2021-12-29"
"e922b1b2-17fb-456e-959a-1ed42850b244","fe5fa97b-e1dc-4f0b-bf78-4d8e2c434c2a",268,3,"Late delivery or shipping issues","2023-09-14"
"0ca9f1c2-a1ce-49c7-98f3-f2a86682f3e1","c7778e51-1390-4652-9bbd-abcaf60fd245",814,11,"Changed mind or no longer needed","2023-05-09"
"1db093b0-e18f-4f8a-941d-ee77338e1139","a65ed985-f9da-4a3d-92dd-4c77841581f9",75,3,"Item arrived damaged","2024-01-05"
"fc797ec3-c199-4bff-9f3e-c6c9294912c5","a9b1b580-66ef-48ac-ba04-ae92643497d7",533,11,"Received duplicate items","2022-06-18"
"50f9eae7-8510-4e6d-bf6a-45a2460efb91","86c9f663-494f-473b-a5d1-8a2e724ba8ef",800,8,"Item malfunctioned or didn't work","2023-08-09"
"520cd2ac-abcb-4b70-bb60-7a28adb5186c","792dde32-6157-42a3-a445-a92eca254f9d",502,5,"Late delivery or shipping issues","2023-12-11"
"b49e7452-3192-42cf-8def-55d310c39862","be600eba-3d4b-4c75-a9c4-540a14d4343b",970,9,"Product not as described","2024-01-16"
"85c7c91b-2e93-421e-a054-48b84f93455b","87da9934-10c5-460a-a7f7-10389b5a86aa",192,9,"Changed mind or no longer needed","2023-10-09"
"35aeea9e-4a96-4f1e-ae16-e421076131f9","44065b62-c695-44f8-9b2e-38dfcb2c4fc7",475,3,"Late delivery or shipping issues","2023-08-26"
"352045db-e658-4411-af4c-80217cec624e","e6ffa3ce-5452-45d0-aa12-612952cc9e53",725,8,"Received duplicate items","2023-12-12"
"3ef6abc4-82b4-4685-b170-1f7bff38a57d","85165de8-21a0-49ae-ad45-d9d740f144ba",1006,8,"Received the wrong product","2023-04-27"
"50062338-5bd8-4346-a905-efcd07bced81","75008852-005a-4586-9a60-bf81933d128e",250,12,"Item arrived damaged","2023-11-13"
"1887eb8e-10b8-4227-8ffd-ed9ebe4488db","8ff195a4-b15c-4582-85ac-807c29ed7ffb",28,11,"Received duplicate items","2023-06-02"
"620429ac-1688-4906-af0d-6aaf287b8b6f","7d9a4801-1e6a-4deb-9ad4-660b18d6fae3",678,6,"Quality did not meet expectations","2023-07-20"
"12332d13-6db8-494f-9443-cb61a98adbcb","6cbf7817-dba3-4c7c-9a76-3f153b3fde99",321,4,"Item malfunctioned or didn't work","2023-08-22"
"ba2f0886-130a-41a5-ae18-2faf7f201fed","dcc5c6a0-b4c1-4dc1-84fa-653512304a2b",897,3,"Item arrived damaged","2024-01-19"
"6bd1a3ef-f2b5-4ba7-880a-d8948c1b819c","9f241f46-44ec-40ac-979d-492583041a38",71,12,"Received duplicate items","2023-12-16"
"bfa044eb-2aa5-4a91-83ae-d1e606bea590","11a5f039-e6d6-4876-a067-8aef98b957b6",822,2,"Late delivery or shipping issues","2024-01-16"
"c341aeb7-97cf-4cde-aa63-85ca2d610523","39efcb96-541c-49c9-90ac-df9d21f2f822",447,2,"Item malfunctioned or didn't work","2022-12-07"
"74f8edde-fdf3-47f2-ba11-f766202445f0","9eee82c2-3a07-4207-a2a9-54abf3eef1e9",789,11,"Item arrived damaged","2023-01-12"
"ba91be0a-3a4f-4683-b234-c187acbc4695","fcbea17a-56d7-48f2-9ff4-7ac77e4c93db",501,10,"Product not as described","2023-11-21"
"9b3bf603-1096-4377-bced-b153b5699bc1","d9f77f8d-8a0d-472d-8aba-9a6905a3ffca",835,9,"Received the wrong product","2023-09-27"
"51142348-439d-4fd4-97f5-550702c100be","8ffbdfff-81bc-47e8-92c5-270c8f2a38c7",914,7,"Late delivery or shipping issues","2022-08-22"
"32fda446-d34e-40c2-8257-aaff4e90f99a","6c76b5a8-2933-4513-baf4-39b006c6113f",535,4,"Item malfunctioned or didn't work","2023-10-03"
"2cd5eb48-0512-4834-843c-826d8d7e46d5","102bda42-1768-4d48-81ef-a94e46f8569c",683,5,"Product not as described","2023-05-03"
"9eec306d-96ca-4b71-ad81-ffeba46715a9","4679e60e-8066-486b-8767-35b74dda53a8",210,6,"Changed mind or no longer needed","2023-07-08"
"f463ea08-bc6f-43ce-afbf-b01294e9b37e","c632e524-a10b-42ca-ad8e-2e7203f80808",650,10,"Product not as described","2022-03-30"
"0ac19fce-a8e7-4962-855f-6e3e17939c50","d7e16df7-71a9-4c85-a79b-54920aa4c490",234,9,"Item malfunctioned or didn't work","2023-12-10"
"5a62f67d-5dab-4b5e-a8d7-3338e724c05f","bee3f854-311b-4be0-b212-f7b2e71d07a9",301,5,"Received duplicate items","2023-06-06"
"2318e614-2efb-4f14-9c25-b292ecb09d52","aa7ee933-d286-4663-99df-3fe4df02997c",783,8,"Late delivery or shipping issues","2023-08-02"
"5c0e00f5-cb55-4aa1-884f-5af22ef3c69f","1f4c852c-95e3-4f5c-8270-47b3df6b2312",644,5,"Received the wrong product","2022-04-25"
"8ff8358d-292f-496d-86d6-e5a0cc33808b","c46380c7-380d-44c5-adaa-f300408f87ca",535,7,"Item arrived damaged","2022-01-17"
"c684e8aa-0147-4ccf-b6f5-4ecd565c5048","f669acb3-2682-4265-94f6-5a84df19af82",334,8,"Received duplicate items","2024-01-10"
"f59a65f6-1922-48c2-a997-7dfd189e679a","2500399f-c2ca-47ed-85da-730e51389618",164,3,"Received duplicate items","2022-04-26"
"d156985e-36e6-4960-aebb-049e0175c608","f63ec643-5d6e-47a6-8ff1-f67ea22eb0b4",83,8,"Changed mind or no longer needed","2023-12-15"
"e001656f-1694-451c-b6c9-6df4818fbc19","3fbe773a-214e-4b99-b05c-752b77155261",978,2,"Received the wrong product","2023-11-27"
"ce487f81-3e5a-41c2-8816-9f996ba2a9db","97cca373-b522-4262-8647-6b815e527306",215,8,"Received the wrong product","2023-08-19"
"2fa2957a-e790-4280-9980-83a3b6c5399f","f1b8521e-916d-4300-94c7-b2d69ff62e64",294,3,"Changed mind or no longer needed","2022-11-24"
"c8c61a0a-e840-421f-8016-f0a0bcd3b36e","29fe3de8-f592-40ea-b03a-b7f26cabf0f9",921,6,"Late delivery or shipping issues","2021-11-07"
"98919076-41a4-4051-b338-16ce4a2ad23b","ec129078-3ce9-4373-8f31-145a3d6cc39f",721,4,"Received duplicate items","2024-01-09"
"c371e1ab-f1ec-44a4-a798-2779e888775d","5824c1f5-379b-4651-bf64-fc304b2ffd74",994,12,"Quality did not meet expectations","2024-01-22"
"3ab7c2b4-0afa-4094-b147-d710c2538b6b","3dc36c60-6973-45cb-bac3-eab7cd8e4f92",459,3,"Received the wrong product","2022-08-07"
"525ed0cd-5431-438c-ba44-b531b817a4c4","4b18c276-5b6b-4aec-b75b-c3b0f7890e41",715,3,"Received the wrong product","2022-05-19"
"efb42931-3b97-42f4-9854-c44a12d7d8a4","a74acc27-c149-4c64-9a67-6c66af7fcb8d",654,4,"Item arrived damaged","2022-01-29"
"f8ba5800-ccbe-4ccf-bebe-6e078ec13c24","4ec79174-499a-4258-99e1-1c5a46d2f81b",892,11,"Item arrived damaged","2023-06-13"
"fdd49134-b222-40dd-9b03-94741738292d","25a5fc67-175d-4527-8349-750d4eae3164",342,2,"Changed mind or no longer needed","2023-10-03"
